               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.055131,            0.013298,            0.023137,             0.62478,             0.72727,             0.69915,             0.31787,            0.040261,           0.0085172,             0.01852,           0.0087526,           0.0087526,           0.0087526
                  65,             0.05245,            0.012188,            0.024488,              0.6067,             0.69602,             0.66319,             0.33603,            0.037055,            0.008319,            0.018125,           0.0087328,           0.0087328,           0.0087328
                  66,            0.052822,            0.011823,             0.02389,             0.63791,             0.76705,             0.75147,             0.33136,            0.046103,           0.0076654,             0.01747,            0.008713,            0.008713,            0.008713
                  67,            0.055577,            0.013029,            0.020055,             0.55129,             0.72338,              0.7386,             0.35315,            0.041177,           0.0080113,            0.016789,           0.0086932,           0.0086932,           0.0086932
                  68,            0.053076,            0.012549,            0.021588,             0.55129,             0.72338,              0.7386,             0.35315,            0.041177,           0.0080113,            0.016789,           0.0086734,           0.0086734,           0.0086734
                  69,            0.044802,            0.016536,            0.021343,             0.61037,              0.7983,             0.85097,             0.49934,            0.034235,           0.0078449,            0.015632,           0.0086536,           0.0086536,           0.0086536
                  70,             0.04346,            0.012012,            0.018835,             0.63577,             0.82955,             0.78265,             0.37987,            0.040532,           0.0076276,            0.015897,           0.0086338,           0.0086338,           0.0086338
                  71,            0.052596,             0.01283,            0.018761,             0.50146,              0.8565,             0.69697,             0.34853,            0.042617,           0.0082355,            0.016693,            0.008614,            0.008614,            0.008614
                  72,            0.056248,            0.013144,            0.020305,             0.50146,              0.8565,             0.69697,             0.34853,            0.042617,           0.0082355,            0.016693,           0.0085942,           0.0085942,           0.0085942
                  73,            0.045889,            0.014209,            0.019741,             0.54641,             0.90625,             0.75485,             0.47414,            0.034533,           0.0081333,            0.015943,           0.0085744,           0.0085744,           0.0085744
                  74,            0.045443,            0.012739,            0.018841,             0.62045,             0.76616,             0.83853,             0.30936,            0.038059,           0.0076921,            0.015019,           0.0085546,           0.0085546,           0.0085546
                  75,            0.049442,            0.012039,            0.018198,             0.70778,             0.90505,             0.92662,             0.44667,            0.037317,           0.0080634,            0.012484,           0.0085348,           0.0085348,           0.0085348
                  76,            0.051517,            0.012973,            0.017374,             0.70778,             0.90505,             0.92662,             0.44667,            0.037317,           0.0080634,            0.012484,            0.008515,            0.008515,            0.008515
                  77,            0.044786,            0.012299,            0.019073,             0.75269,             0.91477,             0.94603,             0.55445,            0.030154,           0.0077665,             0.01045,           0.0084952,           0.0084952,           0.0084952
                  78,            0.043768,            0.011637,             0.01821,             0.73823,             0.77557,             0.85317,             0.34669,            0.037491,           0.0075017,            0.010085,           0.0084754,           0.0084754,           0.0084754
                  79,             0.04128,            0.012667,            0.016201,             0.65668,             0.83466,             0.76542,              0.4235,            0.034687,           0.0077846,           0.0087587,           0.0084556,           0.0084556,           0.0084556
                  80,            0.042442,            0.012024,            0.017314,             0.65668,             0.83466,             0.76542,              0.4235,            0.034687,           0.0077846,           0.0087587,           0.0084358,           0.0084358,           0.0084358
                  81,            0.039039,            0.015041,            0.014778,             0.85764,             0.90909,             0.95802,             0.56455,            0.032223,           0.0076081,           0.0090143,            0.008416,            0.008416,            0.008416
                  82,            0.041758,            0.014002,            0.016281,             0.44513,              0.8284,             0.78187,             0.42534,            0.035671,            0.008527,            0.016199,           0.0083962,           0.0083962,           0.0083962
                  83,            0.046223,            0.013485,            0.014735,             0.63936,             0.86714,             0.86463,             0.37614,             0.03644,           0.0081823,             0.01602,           0.0083764,           0.0083764,           0.0083764
                  84,            0.048598,             0.01411,            0.014116,             0.63936,             0.86714,             0.86463,             0.37614,             0.03644,           0.0081823,             0.01602,           0.0083566,           0.0083566,           0.0083566
                  85,             0.04662,             0.01428,              0.0142,             0.46455,             0.81818,             0.68558,             0.30952,            0.035908,           0.0088419,            0.029687,           0.0083368,           0.0083368,           0.0083368
                  86,            0.042696,            0.013086,            0.012868,             0.31743,             0.72872,               0.553,             0.21724,            0.044089,            0.008962,            0.032888,            0.008317,            0.008317,            0.008317
                  87,            0.044114,            0.014376,            0.017939,             0.52161,             0.84074,             0.74965,             0.33511,            0.037842,            0.008173,            0.013895,           0.0082972,           0.0082972,           0.0082972
                  88,            0.044868,            0.011954,            0.017999,             0.52161,             0.84074,             0.74965,             0.33511,            0.037842,            0.008173,            0.013895,           0.0082774,           0.0082774,           0.0082774
                  89,            0.041358,            0.013583,            0.013607,             0.57773,             0.93182,             0.81264,             0.46301,             0.03244,           0.0078494,           0.0088082,           0.0082576,           0.0082576,           0.0082576
